id_didok;id_fli;id_sloid;name_official;name_long;name_short;name_alternative;lang;stations_metastation;wgs84_e;wgs84_n;wgs84_h;wgs84_epsg;local_e;local_n;local_h;local_epsg;station_priority;km_info;stations_metastation_hrdf;source_file;timestamp;metastation_id
8591299;;ch:1:sloid:91299;Zürich, Paradeplatz;;;Paradeplatz;;;8.538917;47.369732;0;EPSG:4326;2683105;1247126;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903942;284
8591300;;ch:1:sloid:91300;Zürich, Stodolastrasse;;;;;;8.590558;47.356907;0;EPSG:4326;2687026;1245756;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903946;285
8591302;;ch:1:sloid:91302;Zürich, Pflegezentr. Käferberg;;;;;;8.517703;47.399654;0;EPSG:4326;2681457;1250430;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903950;286
8591303;;ch:1:sloid:91303;Zürich, Platte;;;;;;8.552640;47.375008;0;EPSG:4326;2684133;1247727;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903955;287
8591304;;ch:1:sloid:91304;Zürich, Renggerstrasse;;;;;;8.532958;47.344469;0;EPSG:4326;2682694;1244311;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903960;288
8591305;;ch:1:sloid:91305;Zürich, Probstei;;;;;;8.586593;47.400222;0;EPSG:4326;2686656;1250567;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903964;289
8591306;;ch:1:sloid:91306;Zürich, Quellenstrasse;;;;;;8.528753;47.386741;0;EPSG:4326;2682311;1249006;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903969;290
8591307;;ch:1:sloid:91307;Zürich, Brunnenhof;;;;;;8.535186;47.401981;0;EPSG:4326;2682773;1250707;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903973;291
8591309;;ch:1:sloid:91309;Zürich, Rathaus;;;;;;8.542879;47.371738;0;EPSG:4326;2683401;1247353;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903981;292
8591310;;ch:1:sloid:91310;Zürich, Rautihalde;;;;;;8.474107;47.386173;0;EPSG:4326;2678186;1248887;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.903985;293
