id_didok;id_fli;id_sloid;name_official;name_long;name_short;name_alternative;lang;stations_metastation;wgs84_e;wgs84_n;wgs84_h;wgs84_epsg;local_e;local_n;local_h;local_epsg;station_priority;km_info;stations_metastation_hrdf;source_file;timestamp
;;;"Saint-Geoire-en-Valdaine;45.452072; CONSUOZ ABRIBUS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867360
;;;"Voiron;45.362835; MEDIATHEQUE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867389
;;;"Massieu;45.441982; COTE D'AINAN";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867423
;;;"Saint-Geoire-en-Valdaine;45.451200; LE BASSET";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867472
;;;"Fontanil-Cornillon;45.254910; PALLUEL";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867560
;;;"Saint-Jean-de-Moirans;45.321095; PARABOOT";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867577
;;;"Rives;45.349310; BAS RIVES";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867613
;;;"Saint-Geoire-en-Valdaine;45.454506; CHAFFARDIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867659
;;;"Charnècles;45.344760; FERME BOURDIS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867762
;;;"Miribel-les-Échelles;45.421734; LES EMPTAZ";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867791
;;;"Saint-Geoire-en-Valdaine;45.454163; LES BROSSES";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867804
;;;"Bilieu;45.448933; VILLAGE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867807
;;;"Montferrat;45.466946; VERONNIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867835
;;;"Voreppe;45.263430; LOGIS NEUF";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.867989
;;;"Tullins;45.312283; LE PAVE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868075
;;;"Tullins;45.301105; GARE SNCF";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868079
;;;"Tullins;45.298000; COLLEGE CONDORCET";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868082
;;;"Voreppe;45.299070; BANNETTES";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868099
;;;"Charnècles;45.352325; LEZARDIERES PT";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868273
;;;"Réaumont;45.366142; LE MOURET";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868277
;;;"Charnècles;45.348812; LES RIVOIRES";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868280
;;;"Renage;45.345470; CLOS JUVIN";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868283
;;;"Saint-Cassien;45.359440; LE ROYER";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868293
;;;"Saint-Cassien;45.355587; MALOZA";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868296
;;;"Saint-Cassien;45.360035; EGLISE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868299
;;;"Saint-Jean-de-Moirans;45.349450; PLAN MENU RD1075";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868303
;;;"Coublevie;45.353350; PARKING PLAN MENU";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868306
;;;"Coublevie;45.355670; PLACE E BROCHIER";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868309
;;;"La Sure en Chartreuse;45.330400; COL DE LA PLACETTE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868317
;;;"La Sure en Chartreuse;45.326134; QUATRE BRAS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868320
;;;"La Sure en Chartreuse;45.315460; LES BARNIERS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868323
;;;"La Sure en Chartreuse;45.318935; RD520 VILLAGE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868330
;;;"Saint-Blaise-du-Buis;45.394960; BONPERTUIS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868555
;;;"La Murette;45.385193; LA COURATIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868561
;;;"La Murette;45.380230; VILLAGE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868564
;;;"Chirens;45.409570; LE GAYET";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868570
;;;"Voiron;45.378470; L'AGNELAS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868573
;;;"Voiron;45.376810; POLE DE VOUISE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868576
;;;"Voiron;45.369804; BRAMERET";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868580
;;;"Charavines;45.424984; GARE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868787
;;;"Charavines;45.429398; VIRAGE JANIN";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868792
;;;"Charavines;45.413677; GUILLERMET";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868795
;;;"Le Pin;45.449047; VERS ARS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868798
;;;"Massieu;45.437164; LA SARRA";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868805
;;;"Chirens;45.431164; L'ARSENAL";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868808
;;;"Saint-Sulpice-des-Rivoires;45.459927; RIVOIRES";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868811
;;;"Merlas;45.452236; CHAPELLE DE MERLAS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868815
;;;"Saint-Geoire-en-Valdaine;45.456950; BOULONGEAT";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.868827
;;;"Paladru;45.488370; ST P DE PALADRU";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.869077
;;;"Paladru;45.483505; STADE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.869081
;;;"Merlas;45.460600; PICOUDIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.869084
;;;"Saint-Geoire-en-Valdaine;45.478520; L'ORCIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.869092
;;;"Saint-Bueil;45.475810; LA ROCHE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.869102
;;;"Saint-Geoire-en-Valdaine;45.465084; CHAMPET";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.869106
;;;"Saint-Bueil;45.480556; RD82";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.869124
;;;"La Bâtie-Divisin;45.509438; MAIRIE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.869359
;;;"Grenoble;45.195194; Cité Internationale";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.871985
;;;"Fontanil-Cornillon;45.258263; CROIX DE ROCHETTE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.872091
;;;"Saint-Geoire-en-Valdaine;45.463512; LA GLACIERE";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.872547
;;;"Charnècles;45.347046; 6 CHEMINS";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.872615
;;;"Montferrat;45.498600; JALAMION";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.872811
;;;"Moirans;45.320538; LYCEE BEGHIN";;;;;;;;;;;;;;;;;DAT_AURA_GTFS_ExportAOM;2024-06-09T23:49:31.872903
